Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
25-34,"Accounting, Banking & Finance",Receptionist,37000,0,37000,0,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Engineering or Manufacturing,Lead Engineer,100000,50000,100000,50000,USD,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0,65000,0,USD,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man
25-34,Computing or Tech,Principal Software Engineer,187500,5000,187500,5000,USD,USA,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Intelligence Analyst,110000,20000,110000,20000,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man
25-34,Nonprofits,Project Manager,66625,1500,66625,1500,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Mobile developer,144600,2500,144600,2500,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman
35-44,Computing or Tech,Product Design Director,200850,40000,200850,40000,USD,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,1000,53000,1000,USD,USA,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,10000,95000,10000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Managed Services Sales Coordinator,72000,3000,72000,3000,USD,USA,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Water Resources Engineer,106000,0,106000,0,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Business or Consulting,Account Supervisor,100500,3000,100500,3000,USD,USA,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman
25-34,Law,Legal Secretary,33200,0,33200,0,USD,USA,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman
65 or over,Property or Construction,Safety Director,104000,25000,104000,25000,USD,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man
25-34,Education (Higher Education),Research Programmer,70000,0,70000,0,USD,USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,8400,84000,8400,USD,USA,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman
35-44,Health care,AR Manager,53000,0,53000,0,USD,USA,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Technical specialist,34000,2000,34000,2000,USD,USA,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,City Research Scientist II,87000,0,87000,0,USD,USA,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man
35-44,Nonprofits,Supervisory Archivist,71000,0,71000,0,USD,USA,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,0,75000,0,USD,USA,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Manager of Market Research and Data,80000,0,80000,0,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Art & Design,Senior UX Designer,90000,1000,90000,1000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Engineering or Manufacturing,Senior Engineer ,105000,13000,105000,13000,USD,USA,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Digital Archivist,65000,0,65000,0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Business or Consulting,Associate Program Manager,85000,8500,85000,8500,USD,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman
25-34,Energy,Fuel Efficiency Program Analyst,76000,0,76000,0,USD,USA,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman
55-64,Business or Consulting,Senior Vice President of Marketing,180000,60000,180000,60000,USD,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Accounting Manager,90000,0,90000,0,USD,USA,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman
55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,5000,65000,5000,USD,USA,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,senior web application developer,98166,0,98166,0,USD,USA,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man
25-34,Nonprofits,Program & Administrative Assistant,47700,2000,47700,2000,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
55-64,Computing or Tech,Chief Engineer,87000,8000,87000,8000,USD,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man
25-34,Education (Higher Education),Administrative Support Assistant,39635,305,39635,305,USD,USA,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,0,47255,0,USD,USA,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman
35-44,Property or Construction,Senior Project Manager,196000,10000,196000,10000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Man
45-54,Health care,Customer Service Representative,34361,0,34361,0,USD,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Senior Device Engineer,150000,20000,150000,20000,USD,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Hospitality & Events,Graphic Designer,75000,0,75000,0,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Senior Financial Analyst,107220,16083,107220,16083,USD,USA,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Education (Higher Education),Professor,95000,10000,95000,10000,USD,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man
25-34,"Accounting, Banking & Finance",Finance Manager,100000,5000,100000,5000,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),Medical Education Director,119000,2500,119000,2500,USD,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Education (Higher Education),Assistant Professor of Law,145000,15000,145000,15000,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman
25-34,"Marketing, Advertising & PR",Content Writer,48000,2000,48000,2000,USD,USA,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,10000,75000,10000,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Media & Digital,Digital Marketing Specialist,42000,0,42000,0,USD,USA,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,Archivist,54000,100,54000,100,USD,USA,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman
55-64,Medical Device,QC Supervisor,60000,500,60000,500,USD,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman
55-64,Nonprofits,Content Development Manager,101500,0,101500,0,USD,USA,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Academic research (Psychology),Clinical Research Assistant II,36883,150,36883,150,USD,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,news editor,85000,0,85000,0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Senior Administrative Assistant ,62000,0,62000,0,USD,USA,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman
25-34,Business or Consulting,"Associate Manager, Education",71000,3000,71000,3000,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
25-34,public library,Senior Librarian,63000,0,63000,0,USD,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Project Estimator,95000,5000,95000,5000,USD,USA,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Nonprofits,Customer Advocate,35000,3000,35000,3000,USD,USA,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman
18-24,Hospitality & Events,Customer Service Specialist,33280,500,33280,500,USD,USA,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary
35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,2500,56000,2500,USD,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Education (Higher Education),Editor,62000,0,62000,0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Program Associate,63000,1000,63000,1000,USD,USA,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman
55-64,Biopharma,RIM Manager,114000,30000,114000,30000,USD,USA,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man
45-54,Insurance,Senior Client Service Representative,73000,0,73000,0,USD,USA,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman
45-54,Health care,Clinical analyst,100000,0,100000,0,USD,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman
18-24,Government and Public Administration,Policy Analyst ,60129,3000,60129,3000,USD,USA,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman
45-54,STEM research,Research Scientist,135000,0,135000,0,USD,USA,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Senior Accountant,60000,0,60000,0,USD,USA,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Administrative Assistant,37000,0,37000,0,USD,USA,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,User experience specialist,85000,3000,85000,3000,USD,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman
35-44,Media & Digital,Self-employed writer,45000,20000,45000,20000,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Director of Development,92000,0,92000,0,USD,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Production Technician,65000,4000,65000,4000,USD,USA,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man
35-44,"Marketing, Advertising & PR",Graphic Designer,35000,0,35000,0,USD,USA,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000,74000,1000,USD,USA,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Director of Intelligence,102500,20000,102500,20000,USD,USA,Florida,Tampa,5-7 years,5-7 years,College degree,Man
45-54,Computing or Tech,Software Development Manager,140000,5000,140000,5000,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman
35-44,Architecture,Project Architect,58000,4000,58000,4000,USD,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Brand Consultant,400000,0,400000,0,USD,USA,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,HR director,61200,0,61200,0,USD,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Recruitment or HR,Talent Acquisition Specialist,66000,0,66000,0,USD,USA,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,technical support specialist,70000,0,70000,0,USD,USA,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman
45-54,Property or Construction,CAD Manager,75500,5000,75500,5000,USD,USA,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman
25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,0,57000,0,USD,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,10000,215000,10000,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Academic Medicine ,Administrative Specialist,55000,2500,55000,2500,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man
45-54,Law,Senior Corporate Counsel,220000,0,220000,0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Engineering or Manufacturing,Product Engineer,57000,0,57000,0,USD,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Senior Technical Writer,83000,8000,83000,8000,USD,USA,California,San Diego,8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Senior Director,90000,0,90000,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman
35-44,Hospitality & Events,Hotel Sales Manager,66950,0,66950,0,USD,USA,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,Planner,76000,0,76000,0,USD,USA,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Information and Program Manager,70000,5000,70000,5000,USD,USA,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Media and PR,80000,0,80000,0,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Nonprofits,Technical assistance provider,70000,0,70000,0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,0,50000,0,USD,USA,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Hospitality & Events,Director of Client Services,85000,0,85000,0,USD,USA,New York,New York City,11 - 20 years,5-7 years,College degree,Woman
35-44,Retail,Loss prevention manager,87000,15000,87000,15000,USD,USA,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman
35-44,Commercial Real Estate ,Administrative Associate,55000,5000,55000,5000,USD,USA,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman
55-64,Law,Attorney,275000,0,275000,0,USD,USA,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Software engineer,139000,9000,139000,9000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Law,Paralegal / Legal Assistant,54080,500,54080,500,USD,USA,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Education (Primary/Secondary),Librarian,70000,1000,70000,1000,USD,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man
25-34,Nonprofits,Communications Associate,53000,0,53000,0,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,0,25700,0,USD,USA,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,EOS,95000,2000,95000,2000,USD,USA,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,7500,75000,7500,USD,USA,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Property or Construction,Assistant to Property Managers,31500,0,31500,0,USD,USA,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Health care,Principal Statistical Programmer,165000,30000,165000,30000,USD,USA,Massachusetts,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary
25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,0,45760,0,USD,USA,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman
25-34,"Marketing, Advertising & PR",Communications Manager,86000,0,86000,0,USD,USA,Florida,Orlando,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Admissions Advisor,56000,0,56000,0,USD,USA,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,2000,67000,2000,USD,USA,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Property or Construction,Assistant Project Manager,55000,0,55000,0,USD,USA,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Supply chain manager,125000,50000,125000,50000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Utilities & Telecommunications,Land Analyst,60320,0,60320,0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman
35-44,Pharmaceuticals,Regulatory affairs manager ,125000,18750,125000,18750,USD,USA,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman
35-44,Government and Public Administration,Administrative Assistant,49000,0,49000,0,USD,USA,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman
35-44,Nonprofits,Director of Development,120000,0,120000,0,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Teaching Assistant,28000,0,28000,0,USD,USA,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary
35-44,Education (Higher Education),Advancement Accounting Assistant,40575,0,40575,0,USD,USA,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500,0,75500,0,USD,USA,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Copy supervisor,115000,12000,115000,12000,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Visual Designer,110000,1400,110000,1400,USD,USA,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman
18-24,Agriculture or Forestry,Engineering Student Trainee,29000,0,29000,0,USD,USA,South Dakota,Rapid City,1 year or less,1 year or less,Some college,Woman
55-64,Nonprofits,Information Technology Specialist,47250,0,47250,0,USD,USA,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,4000,96000,4000,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man
25-34,Philanthropy,Senior Program Support Associate,72000,0,72000,0,USD,USA,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500,55000,132500,55000,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Computing or Tech,"IT Manager, Financial Systems",124000,0,124000,0,USD,USA,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,0,108000,0,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man
35-44,"Accounting, Banking & Finance",Principal Consultant ,110000,5000,110000,5000,USD,USA,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Government and Public Administration,Editor,91000,2000,91000,2000,USD,USA,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman
35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,17550,117000,17550,USD,USA,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Research administrator ,71697,0,71697,0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Real Estate,Senior Property Manager,90000,9000,90000,9000,USD,USA,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman
25-34,Education (Higher Education),Admin Assistant,52000,0,52000,0,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary
35-44,Transport or Logistics,Executive Administrator ,80000,5000,80000,5000,USD,USA,New York,New York ,21 - 30 years,21 - 30 years,High School,Woman
25-34,Transport or Logistics,HR Business Partner,56000,0,56000,0,USD,USA,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman
45-54,Engineering or Manufacturing,Product Support Representative,47840,2000,47840,2000,USD,USA,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man
45-54,Consulting,Senior Hazard Mitigation Manager,150000,20000,150000,20000,USD,USA,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,0,150000,0,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Environmental Consulting,Senior Consultant,105000,5000,105000,5000,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Equity Analyst,100000,5000,100000,5000,USD,USA,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,8000,97500,8000,USD,USA,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Operations,100000,50000,100000,50000,USD,USA,Texas,Dallas,5-7 years,5-7 years,College degree,Man
45-54,Health care,Senior Project Specialist,125000,0,125000,0,USD,USA,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Public Library Director,63000,0,63000,0,USD,USA,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,1000,79000,1000,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Museum,Museum Technician,52000,0,52000,0,USD,USA,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man
25-34,Government and Public Administration,Economist,109000,3000,109000,3000,USD,USA,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman
45-54,Media & Digital,editor,120000,0,120000,0,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Public library,Managing Librarian,70000,2400,70000,2400,USD,USA,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,2500,110000,2500,USD,USA,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman
18-24,"Accounting, Banking & Finance",Accountant ,45000,0,45000,0,USD,USA,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman
35-44,Government and Public Administration,Senior Director of Public Policy,70000,5000,70000,5000,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Recruitment or HR,Talent Management Manager,115000,0,115000,0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man
35-44,Agriculture or Forestry,Research assistant,17000,0,17000,0,USD,USA,Pennsylvania,North East,11 - 20 years,5-7 years,Master's degree,Non-binary
55-64,Property or Construction,Accounting Manager,66000,0,66000,0,USD,USA,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman
45-54,Engineering or Manufacturing,Quality Manager ,80000,4000,80000,4000,USD,USA,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman
18-24,Law,Attorney,65000,5000,65000,5000,USD,USA,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman
65 or over,Health care,RN,110000,10000,110000,10000,USD,USA,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400,0,114400,0,USD,USA,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300,0,58300,0,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Software Engineer,156000,189000,156000,189000,USD,USA,Massachusetts,Metro Boston,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer
45-54,Computing or Tech,Agile Coach,130000,13000,130000,13000,USD,USA,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman
